sampleIndex,timestampMs,elapsedMs,mode,reason,renderXMeters,renderYMeters,renderRow,renderCol,bleXMeters,bleYMeters,bleRow,bleCol,hasBleFix,groundTruthXMeters,groundTruthYMeters,groundTruthRow,groundTruthCol,truthSource,evaluationEligible,errorMeters,bleErrorMeters,liveCount,filteredCount,adaptiveTuningEnabled,bleQualityScore,pdrQualityScore,rssiNoiseDb,bleMeasurementStdMeters,bleResidualRmsMeters,bleResidualMaxMeters,motionState,recordingEnabled,trialLabel
0,1780413842828,4151,FUSION,OK,1.443390,1.987804,3.180487,2.309424,1.443390,1.987804,3.180487,2.309424,true,,,,,NONE,false,,,3,3,false,1.000000,1.000000,2.223900,0.600000,0.009555,0.012834,FIXED,true,UNLABELED
1,1780413844194,5517,FUSION,MODE_SELECTED,1.443390,1.987804,3.180487,2.309424,1.443390,1.987804,3.180487,2.309424,true,,,,,NONE,false,,,3,3,false,1.000000,1.000000,2.223900,0.600000,0.009555,0.012834,FIXED,true,UNLABELED
2,1780413846092,7415,FUSION,MODE_SELECTED,1.443390,1.987804,3.180487,2.309424,1.443390,1.987804,3.180487,2.309424,true,,,,,NONE,false,,,3,3,false,1.000000,1.000000,2.223900,0.600000,0.009555,0.012834,FIXED,true,STATIC
3,1780413849411,10734,FUSION,OK,1.872096,0.609545,0.975272,2.995353,1.910339,0.486596,0.778553,3.056542,true,,,,,NONE,false,,,3,3,false,1.000000,1.000000,1.482600,0.600000,0.076853,0.112646,FIXED,true,STATIC
4,1780413855151,16474,FUSION,OK,0.879031,1.433490,2.293584,1.406449,0.509927,2.005917,3.209467,0.815882,true,,,,,NONE,false,,,3,3,false,1.000000,1.000000,0.000000,0.600000,0.466283,0.598147,FIXED,true,STATIC
5,1780413860463,21786,FUSION,OK,0.074517,1.879684,3.007494,0.119227,0.050587,1.554949,2.487919,0.080939,true,,,,,NONE,false,,,3,3,false,1.000000,1.000000,0.000000,0.600000,0.169650,0.219511,FIXED,true,STATIC
6,1780413863561,24884,FUSION,OK,0.624427,1.833195,2.933112,0.999083,0.966143,1.961780,3.138848,1.545828,true,,,,,NONE,false,,,3,3,false,1.000000,1.000000,0.000000,0.600000,0.317865,0.399621,FIXED,true,STATIC
7,1780413867052,28375,FUSION,OK,1.027534,1.833602,2.933764,1.644055,1.095158,1.777641,2.844226,1.752253,true,,,,,NONE,false,,,3,3,false,1.000000,1.000000,2.471000,0.600000,0.213205,0.307804,FIXED,true,STATIC
8,1780413872589,33912,FUSION,OK,1.487961,1.835679,2.937087,2.380737,1.709537,1.861994,2.979190,2.735260,true,,,,,NONE,false,,,3,3,false,1.000000,1.000000,0.000000,0.600000,0.241136,0.335451,FIXED,true,STATIC
9,1780413875633,36956,FUSION,OK,1.567633,1.880315,3.008505,2.508212,1.500592,1.893315,3.029305,2.400948,true,,,,,NONE,false,,,3,3,false,1.000000,1.000000,2.471000,0.600000,0.058531,0.083197,FIXED,true,STATIC
10,1780413880556,41879,FUSION,OK,1.623567,1.980508,3.168813,2.597707,1.684086,2.029807,3.247691,2.694538,true,,,,,NONE,false,,,3,3,false,1.000000,1.000000,0.000000,0.600000,0.320200,0.391298,FIXED,true,STATIC
11,1780413884473,45796,FUSION,OK,1.709832,2.005615,3.208983,2.735731,1.729209,1.994775,3.191641,2.766734,true,,,,,NONE,false,,,3,3,false,1.000000,1.000000,0.494200,0.600000,0.316634,0.384438,FIXED,true,STATIC
12,1780413892390,53713,ANCHOR,MAP_TAP,0.646368,0.705128,1.128205,1.034188,,,,,false,0.646368,0.705128,1.128205,1.034188,MANUAL_ANCHOR,false,0.000000,,3,3,false,1.000000,1.000000,0.494200,0.600000,0.316634,0.384438,FIXED,true,STATIC
13,1780413894037,55360,ANCHOR,MAP_TAP,0.635684,0.646368,1.034188,1.017094,,,,,false,0.635684,0.646368,1.034188,1.017094,MANUAL_ANCHOR,false,0.000000,,3,3,false,1.000000,1.000000,1.976800,0.600000,0.146628,0.174162,FIXED,true,STATIC
