"sessionId","sampleIndex","timestampMs","elapsedSeconds","mode","reason","renderXMeters","renderYMeters","bleXMeters","bleYMeters","hasBleFix","truthSource","isEvaluationSample","isBleEvaluationSample","groundTruthXMeters","groundTruthYMeters","errorMeters","bleRawErrorMeters","liveCount","filteredCount","adaptiveTuningEnabled","bleQualityScore","pdrQualityScore","rssiNoiseDb","bleMeasurementStdMeters","bleResidualRmsMeters","bleResidualMaxMeters","motionState","recordingEnabled","trialLabel"
"20260531_035602_816","0","1780189005684","42.868","ANCHOR","MAP_TAP","1.2580","0.3873","","","False","MANUAL_ANCHOR","False","False","1.2580","0.3873","0.0000","","1","1","True","0.0000","1.0000","0.0000","0.9000","","","STATIONARY","True","STATIC"
"20260531_035602_816","1","1780189007101","44.285","FUSION","LESS_THAN_3_BEACONS","1.2580","0.3873","","","False","NONE","False","False","","","","","1","1","True","0.0000","1.0000","0.0000","0.9000","","","STATIONARY","True","STATIC"
"20260531_035602_816","2","1780189012394","49.578","FUSION","LESS_THAN_3_BEACONS","1.2580","0.3873","","","False","NONE","False","False","","","","","1","1","True","0.0000","1.0000","0.0000","0.9000","","","STATIONARY","True","STATIC"
"20260531_035602_816","3","1780189015506","52.690","FUSION","LESS_THAN_3_BEACONS","1.2580","0.3873","","","False","NONE","False","False","","","","","1","1","True","0.0000","1.0000","0.0000","0.9000","","","STATIONARY","True","STATIC"
"20260531_035602_816","4","1780189020604","57.788","FUSION","LESS_THAN_3_BEACONS","1.2580","0.3873","","","False","NONE","False","False","","","","","1","1","True","0.0000","1.0000","0.0000","0.9000","","","STATIONARY","True","STATIC"
"20260531_035602_816","5","1780189024290","61.474","FUSION","LESS_THAN_3_BEACONS","1.2580","0.3873","","","False","NONE","False","False","","","","","1","1","True","0.0000","1.0000","0.0000","0.9000","","","STATIONARY","True","STATIC"
"20260531_035602_816","6","1780189031006","68.190","PDR_ONLY","LESS_THAN_3_BEACONS","1.2580","0.3873","","","False","NONE","False","False","","","","","1","1","True","0.0000","1.0000","0.0000","0.9000","","","STATIONARY","True","STATIC"
"20260531_035602_816","7","1780189033125","70.309","PDR_ONLY","LESS_THAN_3_BEACONS","1.2580","0.3873","","","False","NONE","False","False","","","","","1","1","True","0.0000","1.0000","0.0000","0.9000","","","STATIONARY","True","WALK"
"20260531_035602_816","8","1780189036338","73.522","PDR_ONLY","LESS_THAN_3_BEACONS","1.2580","0.3873","","","False","NONE","False","False","","","","","1","1","True","0.0000","1.0000","0.0000","0.9000","","","STATIONARY","True","WALK"
"20260531_035602_816","9","1780189039410","76.594","PDR_ONLY","LESS_THAN_3_BEACONS","1.2580","0.3873","","","False","NONE","False","False","","","","","1","1","True","0.0000","1.0000","0.0000","0.9000","","","STATIONARY","True","WALK"
"20260531_035602_816","10","1780189043373","80.557","PDR_ONLY","LESS_THAN_3_BEACONS","1.2580","0.3873","","","False","NONE","False","False","","","","","1","1","True","0.0000","1.0000","0.0000","0.9000","","","STATIONARY","True","WALK"
"20260531_035602_816","11","1780189048383","85.567","PDR_ONLY","LESS_THAN_3_BEACONS","1.2580","0.3873","","","False","NONE","False","False","","","","","1","1","True","0.0000","1.0000","0.0000","0.9000","","","STATIONARY","True","WALK"
"20260531_035602_816","12","1780189054304","91.488","PDR_ONLY","LESS_THAN_3_BEACONS","1.2580","0.3873","","","False","NONE","False","False","","","","","1","1","True","0.0000","1.0000","0.0000","0.9000","","","STATIONARY","True","WALK"
"20260531_035602_816","13","1780189056268","93.452","PDR_ONLY","MODE_SELECTED","1.2580","0.3873","","","False","NONE","False","False","","","","","1","1","True","0.0000","1.0000","0.0000","0.9000","","","STATIONARY","True","WALK"
"20260531_035602_816","14","1780189057353","94.537","PDR_ONLY","MODE_SELECTED","1.2580","0.3873","","","False","NONE","False","False","","","","","1","1","True","0.0000","1.0000","0.0000","0.9000","","","STATIONARY","True","WALK"
"20260531_035602_816","15","1780189061295","98.479","FUSION","LESS_THAN_3_BEACONS","1.2580","0.3873","","","False","NONE","False","False","","","","","1","1","True","0.0000","1.0000","0.0000","0.9000","","","STATIONARY","True","WALK"
"20260531_035602_816","16","1780189066384","103.568","FUSION","LESS_THAN_3_BEACONS","1.2580","0.3873","","","False","NONE","False","False","","","","","1","1","True","0.0000","1.0000","0.0000","0.9000","","","STATIONARY","True","WALK"
"20260531_035602_816","17","1780189072350","109.534","FUSION","LESS_THAN_3_BEACONS","1.2580","0.3873","","","False","NONE","False","False","","","","","1","1","True","0.0000","1.0000","0.0000","0.9000","","","STATIONARY","True","WALK"
