"sessionId","sourceFile","sampleCount","bleFixSamples","bleFixRatio","groundTruthSamples","adaptiveSamples","evaluationSamples","bleEvaluationSamples","bleRawEvaluationSamples","meanErrorMeters","rmseMeters","maxErrorMeters","bleMeanErrorMeters","bleRmseMeters","bleMaxErrorMeters","bleRawMeanErrorMeters","bleRawRmseMeters","bleRawMaxErrorMeters","rssiAverageWindowSize","pathLossExponent","modeCounts"
"20260531_035602_816","20260531_035602_816_user_position_history.json","21","0","0.0000","1","21","0","0","0","","","","","","","","","","3","2","ANCHOR=1;FUSION=11;PDR_ONLY=9"
"20260602_180307_720","20260602_180307_720_user_position_history.json","4","1","0.2500","3","0","0","0","0","","","","","","","","","","3","2","FUSION=1;ANCHOR=3"
"20260602_180444_557","20260602_180444_557_user_position_history.json","4","0","0.0000","1","0","0","0","0","","","","","","","","","","3","2","ANCHOR=1;FUSION=3"
"20260602_181209_489","20260602_181209_489_user_position_history.json","2","0","0.0000","1","0","0","0","0","","","","","","","","","","3","2","ANCHOR=1;FUSION=1"
"20260602_182358_677","20260602_182358_677_user_position_history.json","14","12","0.8571","11","0","9","9","9","1.5330","1.5576","1.9315","1.5330","1.5576","1.9315","1.6015","1.6214","1.9353","3","2","FUSION=12;ANCHOR=2"
"20260602_184527_148","20260602_184527_148_user_position_history.json","2","2","1.0000","0","0","0","0","0","","","","","","","","","","3","2","FUSION=2"
"20260602_184804_826","20260602_184804_826_user_position_history.json","2","2","1.0000","0","0","0","0","0","","","","","","","","","","3","2","FUSION=2"
"20260602_185246_228","20260602_185246_228_user_position_history.json","0","0","","0","0","0","0","0","","","","","","","","","","3","2",""
"20260602_185250_796","20260602_185250_796_user_position_history.json","3","3","1.0000","1","0","1","1","1","0.7888","0.7888","0.7888","0.7888","0.7888","0.7888","0.8485","0.8485","0.8485","3","2","FUSION=3"
"20260602_185503_790","20260602_185503_790_user_position_history.json","5","3","0.6000","2","0","2","2","2","0.8859","0.8929","0.9976","0.8859","0.8929","0.9976","0.8833","0.8849","0.9357","3","2","FUSION=4;ANCHOR=1"
"20260602_185639_824","20260602_185639_824_user_position_history.json","22","0","0.0000","1","0","0","0","0","","","","","","","","","","3","2","FUSION=21;ANCHOR=1"
"20260602_190145_516","20260602_190145_516_user_position_history.json","6","1","0.1667","1","0","1","1","1","0.8638","0.8638","0.8638","0.8638","0.8638","0.8638","0.8751","0.8751","0.8751","3","2","FUSION=6"
"20260602_190332_653","20260602_190332_653_user_position_history.json","15","0","0.0000","0","0","0","0","0","","","","","","","","","","3","2","FUSION=15"
"20260602_190519_132","20260602_190519_132_user_position_history.json","21","0","0.0000","0","0","0","0","0","","","","","","","","","","3","2","FUSION=21"
"20260602_190839_014","20260602_190839_014_user_position_history.json","2","2","1.0000","2","0","2","2","2","0.7516","0.7578","0.8483","0.7516","0.7578","0.8483","0.7360","0.7366","0.7678","3","2","FUSION=2"
"20260602_191012_362","20260602_191012_362_user_position_history.json","1","1","1.0000","1","0","1","1","1","0.5264","0.5264","0.5264","0.5264","0.5264","0.5264","0.5264","0.5264","0.5264","3","2","FUSION=1"
"20260602_191138_464","20260602_191138_464_user_position_history.json","0","0","","0","0","0","0","0","","","","","","","","","","3","2",""
"20260602_191445_169","20260602_191445_169_user_position_history.json","12","12","1.0000","11","0","11","11","11","0.3795","0.4207","0.7240","0.3795","0.4207","0.7240","0.4476","0.4988","0.7277","3","2","FUSION=12"
"20260602_191611_896","20260602_191611_896_user_position_history.json","12","11","0.9167","9","0","9","9","9","0.5027","0.5122","0.6611","0.5027","0.5122","0.6611","0.5120","0.5359","0.6825","3","2","FUSION=11;ANCHOR=1"
"20260602_191814_392","20260602_191814_392_user_position_history.json","10","10","1.0000","10","0","10","10","10","0.5377","0.5517","0.6621","0.5377","0.5517","0.6621","0.5316","0.5594","0.7673","3","2","FUSION=10"
"20260602_192418_881","20260602_192418_881_user_position_history.json","0","0","","0","0","0","0","0","","","","","","","","","","3","2",""
"20260602_210705_398","20260602_210705_398_user_position_history.json","10","2","0.2000","0","0","0","0","0","","","","","","","","","","3","2","FUSION=10"
"20260602_225152_115","20260602_225152_115_user_position_history.json","16","5","0.3125","0","0","0","0","0","","","","","","","","","","3","2","FUSION=15;ANCHOR=1"
"20260602_225335_352","20260602_225335_352_user_position_history.json","18","6","0.3333","0","0","0","0","0","","","","","","","","","","3","2","FUSION=17;ANCHOR=1"
"20260602_225547_699","20260602_225547_699_user_position_history.json","9","0","0.0000","0","0","0","0","0","","","","","","","","","","3","2","FUSION=9"
"20260602_225757_528","20260602_225757_528_user_position_history.json","11","0","0.0000","0","0","0","0","0","","","","","","","","","","3","2","ANCHOR=1;FUSION=10"
"20260602_230016_778","20260602_230016_778_user_position_history.json","11","1","0.0909","0","0","0","0","0","","","","","","","","","","3","2","FUSION=11"
"20260602_230827_736","20260602_230827_736_user_position_history.json","8","7","0.8750","0","0","0","0","0","","","","","","","","","","3","2","FUSION=8"
