sampleIndex,timestampMs,elapsedMs,mode,reason,renderXMeters,renderYMeters,renderRow,renderCol,bleXMeters,bleYMeters,bleRow,bleCol,hasBleFix,groundTruthXMeters,groundTruthYMeters,groundTruthRow,groundTruthCol,truthSource,evaluationEligible,errorMeters,bleErrorMeters,liveCount,filteredCount,adaptiveTuningEnabled,bleQualityScore,pdrQualityScore,rssiNoiseDb,bleMeasurementStdMeters,bleResidualRmsMeters,bleResidualMaxMeters,motionState,recordingEnabled,trialLabel
0,1780416245132,32479,FUSION,LESS_THAN_3_BEACONS,1.311432,1.263355,2.021368,2.098291,,,,,false,,,,,NONE,false,,,1,1,false,0.000000,1.000000,10.378200,0.900000,,,FIXED,true,STATIC
1,1780416249419,36766,FUSION,LESS_THAN_3_BEACONS,1.311432,1.263355,2.021368,2.098291,,,,,false,,,,,NONE,false,,,1,1,false,0.000000,1.000000,0.000000,0.900000,,,FIXED,true,STATIC
2,1780416256435,43782,FUSION,LESS_THAN_3_BEACONS,1.311432,1.263355,2.021368,2.098291,,,,,false,,,,,NONE,false,,,1,1,false,0.000000,1.000000,4.447800,0.900000,,,FIXED,true,STATIC
3,1780416261149,48496,FUSION,LESS_THAN_3_BEACONS,1.311432,1.263355,2.021368,2.098291,,,,,false,,,,,NONE,false,,,1,1,false,0.000000,1.000000,1.482600,0.900000,,,FIXED,true,STATIC
4,1780416264439,51786,FUSION,LESS_THAN_3_BEACONS,1.311432,1.263355,2.021368,2.098291,,,,,false,,,,,NONE,false,,,1,1,false,0.000000,1.000000,0.000000,0.900000,,,FIXED,true,STATIC
5,1780416268149,55496,FUSION,LESS_THAN_3_BEACONS,1.311432,1.263355,2.021368,2.098291,,,,,false,,,,,NONE,false,,,1,1,false,0.000000,1.000000,2.965200,0.900000,,,FIXED,true,STATIC
6,1780416273276,60623,FUSION,LESS_THAN_3_BEACONS,1.311432,1.263355,2.021368,2.098291,,,,,false,,,,,NONE,false,,,1,1,false,0.000000,1.000000,1.482600,0.900000,,,FIXED,true,STATIC
7,1780416276349,63696,FUSION,LESS_THAN_3_BEACONS,1.311432,1.263355,2.021368,2.098291,,,,,false,,,,,NONE,false,,,1,1,false,0.000000,1.000000,0.000000,0.900000,,,FIXED,true,STATIC
8,1780416279455,66802,FUSION,LESS_THAN_3_BEACONS,1.311432,1.263355,2.021368,2.098291,,,,,false,,,,,NONE,false,,,1,1,false,0.000000,1.000000,0.000000,0.900000,,,FIXED,true,STATIC
9,1780416287401,74748,FUSION,LESS_THAN_3_BEACONS,1.311432,1.263355,2.021368,2.098291,,,,,false,,,,,NONE,false,,,1,1,false,0.000000,1.000000,2.965200,0.900000,,,FIXED,true,STATIC
10,1780416291109,78456,FUSION,LESS_THAN_3_BEACONS,1.311432,1.263355,2.021368,2.098291,,,,,false,,,,,NONE,false,,,1,1,false,0.000000,1.000000,5.930400,0.900000,,,FIXED,true,STATIC
11,1780416294410,81757,FUSION,LESS_THAN_3_BEACONS,1.311432,1.263355,2.021368,2.098291,,,,,false,,,,,NONE,false,,,1,1,false,0.000000,1.000000,4.447800,0.900000,,,FIXED,true,STATIC
12,1780416297919,85266,FUSION,LESS_THAN_3_BEACONS,1.311432,1.263355,2.021368,2.098291,,,,,false,,,,,NONE,false,,,1,1,false,0.000000,1.000000,5.930400,0.900000,,,FIXED,true,STATIC
13,1780416303804,91151,FUSION,LESS_THAN_3_BEACONS,1.311432,1.263355,2.021368,2.098291,,,,,false,,,,,NONE,false,,,1,1,false,0.000000,1.000000,1.482600,0.900000,,,FIXED,true,STATIC
14,1780416307889,95236,FUSION,DEAD_RECKONING,0.843534,1.670136,2.672218,1.349654,,,,,false,,,,,NONE,false,,,1,1,false,0.000000,1.000000,1.482600,0.900000,,,FIXED,true,STATIC
