sessionId,sampleIndex,groundTruthXMeters,groundTruthYMeters,truthSource,evaluationEligible,note
20260602_182358_677,3,0.50,0.50,STATIC_POINT,true,STATIC_P1_R3
20260602_182358_677,4,0.50,0.50,STATIC_POINT,true,STATIC_P1_R3
20260602_182358_677,5,0.50,0.50,STATIC_POINT,true,STATIC_P1_R3
20260602_182358_677,6,0.50,0.50,STATIC_POINT,true,STATIC_P1_R3
20260602_182358_677,7,0.50,0.50,STATIC_POINT,true,STATIC_P1_R3
20260602_182358_677,8,0.50,0.50,STATIC_POINT,true,STATIC_P1_R3
20260602_182358_677,9,0.50,0.50,STATIC_POINT,true,STATIC_P1_R3
20260602_182358_677,10,0.50,0.50,STATIC_POINT,true,STATIC_P1_R3
20260602_182358_677,11,0.50,0.50,STATIC_POINT,true,STATIC_P1_R3
20260602_185250_796,2,2.00,0.50,STATIC_POINT,true,STATIC_P2_R1
20260602_185503_790,2,2.00,0.50,STATIC_POINT,true,STATIC_P2_R2
20260602_185503_790,4,2.00,0.50,STATIC_POINT,true,STATIC_P2_R2
20260602_190145_516,5,1.25,1.25,STATIC_POINT,true,STATIC_P3_R1
20260602_190839_014,0,0.50,2.00,STATIC_POINT,true,STATIC_P4_R1
20260602_190839_014,1,0.50,2.00,STATIC_POINT,true,STATIC_P4_R1
20260602_191012_362,0,0.50,2.00,STATIC_POINT,true,STATIC_P4_R2
20260602_191445_169,1,2.00,2.00,STATIC_POINT,true,STATIC_P5_R1
20260602_191445_169,2,2.00,2.00,STATIC_POINT,true,STATIC_P5_R1
20260602_191445_169,3,2.00,2.00,STATIC_POINT,true,STATIC_P5_R1
20260602_191445_169,4,2.00,2.00,STATIC_POINT,true,STATIC_P5_R1
20260602_191445_169,5,2.00,2.00,STATIC_POINT,true,STATIC_P5_R1
20260602_191445_169,6,2.00,2.00,STATIC_POINT,true,STATIC_P5_R1
20260602_191445_169,7,2.00,2.00,STATIC_POINT,true,STATIC_P5_R1
20260602_191445_169,8,2.00,2.00,STATIC_POINT,true,STATIC_P5_R1
20260602_191445_169,9,2.00,2.00,STATIC_POINT,true,STATIC_P5_R1
20260602_191445_169,10,2.00,2.00,STATIC_POINT,true,STATIC_P5_R1
20260602_191445_169,11,2.00,2.00,STATIC_POINT,true,STATIC_P5_R1
20260602_191611_896,2,2.00,2.00,STATIC_POINT,true,STATIC_P5_R2
20260602_191611_896,3,2.00,2.00,STATIC_POINT,true,STATIC_P5_R2
20260602_191611_896,4,2.00,2.00,STATIC_POINT,true,STATIC_P5_R2
20260602_191611_896,5,2.00,2.00,STATIC_POINT,true,STATIC_P5_R2
20260602_191611_896,6,2.00,2.00,STATIC_POINT,true,STATIC_P5_R2
20260602_191611_896,7,2.00,2.00,STATIC_POINT,true,STATIC_P5_R2
20260602_191611_896,8,2.00,2.00,STATIC_POINT,true,STATIC_P5_R2
20260602_191611_896,9,2.00,2.00,STATIC_POINT,true,STATIC_P5_R2
20260602_191611_896,10,2.00,2.00,STATIC_POINT,true,STATIC_P5_R2
20260602_191814_392,0,2.00,2.00,STATIC_POINT,true,STATIC_P5_R3
20260602_191814_392,1,2.00,2.00,STATIC_POINT,true,STATIC_P5_R3
20260602_191814_392,2,2.00,2.00,STATIC_POINT,true,STATIC_P5_R3
20260602_191814_392,3,2.00,2.00,STATIC_POINT,true,STATIC_P5_R3
20260602_191814_392,4,2.00,2.00,STATIC_POINT,true,STATIC_P5_R3
20260602_191814_392,5,2.00,2.00,STATIC_POINT,true,STATIC_P5_R3
20260602_191814_392,6,2.00,2.00,STATIC_POINT,true,STATIC_P5_R3
20260602_191814_392,7,2.00,2.00,STATIC_POINT,true,STATIC_P5_R3
20260602_191814_392,8,2.00,2.00,STATIC_POINT,true,STATIC_P5_R3
20260602_191814_392,9,2.00,2.00,STATIC_POINT,true,STATIC_P5_R3
